Name,Coord,,,,,,,
TDN cam 2/ch01_00000000004011700.jpg,46 610,147 620,255 623,440 640,1164 718,1493 747,,
TDN cam 2/ch01_00000000004011800.jpg,52 610,147 620,255 623,437 641,624 657,1161 719,1494 747,
TDN cam 2/ch01_00000000004011900.jpg,46 610,148 618,257 623,437 640,625 657,1164 719,1493 748,1805 768
TDN cam 2/ch01_00000000004012000.jpg,46 610,148 620,256 626,437 641,627 657,1160 720,1495 746,1804 753
TDN cam 2/ch01_00000000004012100.jpg,45 610,149 619,256 624,435 642,626 656,1161 718,1496 748,1804 752
TDN cam 2/ch01_00000000004012200.jpg,42 609,147 620,256 626,438 641,626 656,1164 714,1803 743,
TDN cam 2/ch01_00000000004012300.jpg,45 609,147 620,255 624,438 642,625 657,1161 718,1805 751,
TDN cam 2/ch01_00000000004012400.jpg,45 610,256 626,439 640,621 657,1164 719,1803 752,,
TDN cam 2/ch01_00000000004012500.jpg,47 611,255 626,438 641,625 654,1155 718,1801 753,,
TDN cam 2/ch01_00000000004012600.jpg,47 610,255 626,436 642,626 651,1160 713,1798 752,,
TDN cam 2/ch01_00000000004012700.jpg,255 626,434 641,625 651,1159 716,1796 752,,,
TDN cam 2/ch01_00000000004012800.jpg,257 623,436 642,626 649,1160 720,1795 750,,,
TDN cam 2/ch01_00000000004012900.jpg,46 610,130 628,434 642,626 650,1159 717,1797 752,,
TDN cam 2/ch01_00000000004013000.jpg,243 626,436 642,626 650,1159 718,1800 751,,,
TDN cam 2/ch01_00000000004013100.jpg,55 609,435 641,627 650,1159 720,1802 752,,,
TDN cam 2/ch01_00000000004013200.jpg,435 641,625 649,1160 716,1796 751,,,,
TDN cam 2/ch01_00000000004013300.jpg,63 608,440 641,626 649,1158 720,1802 751,,,
TDN cam 2/ch01_00000000004013400.jpg,441 621,639 626,1180 719,1803 753,,,,
TDN cam 2/ch01_00000000004013500.jpg,434 641,625 649,1160 719,1803 751,,,,
TDN cam 2/ch01_00000000004013600.jpg,434 641,625 649,1160 719,1802 750,,,,
TDN cam 2/ch01_00000000004013700.jpg,433 641,626 649,1159 717,1798 750,,,,
TDN cam 2/ch01_00000000004013800.jpg,435 643,626 650,1159 718,1799 751,,,,
TDN cam 2/ch01_00000000004013900.jpg,435 640,626 649,1159 718,1793 751,,,,
TDN cam 2/ch01_00000000004014000.jpg,434 641,625 649,1158 719,1798 752,,,,
TDN cam 2/ch01_00000000004014100.jpg,434 641,626 649,1159 720,1797 751,,,,
TDN cam 2/ch01_00000000004014200.jpg,435 641,626 650,1174 722,1791 751,,,,
TDN cam 2/ch01_00000000004014300.jpg,440 641,1159 720,1790 752,,,,,
TDN cam 2/ch01_00000000004014400.jpg,440 642,1160 718,1799 750,,,,,
TDN cam 2/ch01_00000000004014500.jpg,440 641,1158 720,1796 751,,,,,
TDN cam 2/ch01_00000000004014600.jpg,442 640,1159 718,1797 750,,,,,
TDN cam 2/ch01_00000000004014700.jpg,441 640,1158 719,1802 751,,,,,
TDN cam 2/ch01_00000000004014800.jpg,441 641,1159 718,1804 751,,,,,
TDN cam 2/ch01_00000000004014900.jpg,441 642,1158 715,1800 750,,,,,
TDN cam 2/ch01_00000000004015000.jpg,440 641,1158 719,1801 751,,,,,
TDN cam 2/ch01_00000000004015100.jpg,440 641,1159 719,1796 749,,,,,
TDN cam 2/ch01_00000000004015200.jpg,442 641,1159 719,1801 751,,,,,
TDN cam 2/ch01_00000000004015300.jpg,441 642,1158 719,1801 751,,,,,
TDN cam 2/ch01_00000000004015400.jpg,442 641,1160 721,1801 752,,,,,
TDN cam 2/ch01_00000000004015500.jpg,440 641,729 670,1159 721,1795 752,,,,
TDN cam 2/ch01_00000000004015600.jpg,441 641,1160 721,1798 750,,,,,
TDN cam 2/ch01_00000000004015700.jpg,441 642,1161 723,1797 751,,,,,
TDN cam 2/ch01_00000000004015800.jpg,440 641,1158 722,1793 750,,,,,
TDN cam 2/ch01_00000000004015900.jpg,442 641,1159 720,1797 749,,,,,
TDN cam 2/ch01_00000000004016000.jpg,436 642,827 671,1159 720,1800 751,,,,
TDN cam 2/ch01_00000000004016100.jpg,272 616,440 641,833 671,1159 720,1798 751,,,
TDN cam 2/ch01_00000000004016200.jpg,271 618,439 641,835 669,1158 717,1799 749,,,
TDN cam 2/ch01_00000000004016300.jpg,270 618,440 641,833 672,1158 719,1793 746,,,
TDN cam 2/ch01_00000000004016400.jpg,269 618,440 641,833 671,1158 718,1796 752,,,
TDN cam 2/ch01_00000000004016500.jpg,269 615,440 641,836 671,1158 719,1794 752,,,
TDN cam 2/ch01_00000000004016600.jpg,272 619,439 642,833 672,1158 721,1798 750,,,
TDN cam 2/ch01_00000000004016700.jpg,269 617,440 642,833 671,1159 718,1795 752,,,
TDN cam 2/ch01_00000000004016800.jpg,270 618,439 641,833 672,1158 718,1791 751,,,
TDN cam 2/ch01_00000000004016900.jpg,269 618,440 641,833 672,1159 718,1795 751,,,
TDN cam 2/ch01_00000000004017000.jpg,270 618,440 641,833 672,1158 718,1792 749,,,
TDN cam 2/ch01_00000000004017100.jpg,269 618,439 641,833 672,1158 718,1791 749,,,
TDN cam 2/ch01_00000000004017200.jpg,270 618,440 641,832 672,1158 716,1790 751,,,
TDN cam 2/ch01_00000000004017300.jpg,269 618,440 641,832 672,1160 718,1798 751,,,
TDN cam 2/ch01_00000000004017400.jpg,269 617,439 641,833 672,1158 718,1792 749,,,
TDN cam 2/ch01_00000000004017500.jpg,16 614,270 618,440 641,834 672,1159 718,1793 749,,
TDN cam 2/ch01_00000000004017600.jpg,270 618,438 642,832 672,1159 718,1796 750,,,
TDN cam 2/ch01_00000000004017700.jpg,272 618,440 641,832 672,1158 718,1790 751,,,
TDN cam 2/ch01_00000000004017800.jpg,270 618,438 641,833 672,1158 718,1793 750,,,
TDN cam 2/ch01_00000000004017900.jpg,270 618,439 641,834 672,1159 714,1792 750,,,
TDN cam 2/ch01_00000000004018000.jpg,269 618,440 641,833 672,1160 718,1791 749,,,
TDN cam 2/ch01_00000000004018100.jpg,271 618,439 641,833 673,1158 717,1794 749,,,
TDN cam 2/ch01_00000000004018200.jpg,270 618,439 641,832 673,1158 717,1789 749,,,
TDN cam 2/ch01_00000000004018300.jpg,271 618,440 642,834 672,1159 718,1789 753,,,
TDN cam 2/ch01_00000000004018400.jpg,270 618,439 641,833 673,1159 718,1791 749,,,
TDN cam 2/ch01_00000000004018500.jpg,270 617,439 641,833 672,1159 718,1790 748,,,
TDN cam 2/ch01_00000000004018600.jpg,269 617,438 641,833 672,1158 717,1801 749,,,
TDN cam 2/ch01_00000000004018700.jpg,271 617,440 641,833 672,1157 717,1800 749,,,
TDN cam 2/ch01_00000000004018800.jpg,270 618,439 641,834 672,1159 718,1797 748,,,
TDN cam 2/ch01_00000000004018900.jpg,270 617,440 641,834 673,1159 719,1801 762,,,
TDN cam 2/ch01_00000000004019000.jpg,271 617,439 641,833 673,1159 719,1799 760,,,
TDN cam 2/ch01_00000000004019100.jpg,272 617,440 641,834 673,1159 717,1804 750,,,
TDN cam 2/ch01_00000000004019200.jpg,271 617,438 642,833 673,1158 720,1802 758,,,
TDN cam 2/ch01_00000000004019300.jpg,271 617,439 641,834 673,1159 719,1798 758,,,
TDN cam 2/ch01_00000000004019400.jpg,271 617,439 641,833 673,1159 719,1801 751,,,
TDN cam 2/ch01_00000000004019500.jpg,272 617,439 641,834 673,1158 719,1803 756,,,
TDN cam 2/ch01_00000000004019600.jpg,270 617,440 641,834 673,1165 721,1803 753,,,
TDN cam 2/ch01_00000000004019700.jpg,271 617,439 641,833 673,1158 719,1802 757,,,
TDN cam 2/ch01_00000000004019800.jpg,272 617,439 641,834 672,1158 719,1802 754,,,
TDN cam 2/ch01_00000000004019900.jpg,271 617,439 641,834 672,1159 718,1801 759,,,
TDN cam 2/ch01_00000000004020000.jpg,271 617,439 642,833 673,1159 718,1803 759,,,
TDN cam 2/ch01_00000000004020100.jpg,271 616,438 641,833 673,1159 718,1803 762,,,
TDN cam 2/ch01_00000000004020200.jpg,271 617,440 641,834 673,1159 719,1803 753,,,
TDN cam 2/ch01_00000000004020300.jpg,271 617,434 642,836 675,1159 719,1803 752,,,
TDN cam 2/ch01_00000000004020400.jpg,271 617,439 642,1160 720,1802 750,,,,
TDN cam 2/ch01_00000000004020500.jpg,270 617,438 641,1159 719,1803 763,,,,
TDN cam 2/ch01_00000000004020600.jpg,270 617,438 641,1159 719,1803 749,,,,
TDN cam 2/ch01_00000000004020700.jpg,270 616,439 642,1159 719,1804 750,,,,
TDN cam 2/ch01_00000000004020800.jpg,271 617,440 641,1159 718,1803 749,,,,
TDN cam 2/ch01_00000000004020900.jpg,271 617,439 642,1159 719,1803 749,,,,
TDN cam 2/ch01_00000000004021000.jpg,271 617,440 641,1159 719,1802 760,,,,
TDN cam 2/ch01_00000000004021100.jpg,270 617,439 641,1159 718,1803 758,,,,
TDN cam 2/ch01_00000000004021200.jpg,270 617,438 641,1160 719,1803 750,,,,
TDN cam 2/ch01_00000000004021300.jpg,271 616,439 641,1159 719,1803 759,,,,
TDN cam 2/ch01_00000000004021400.jpg,271 617,438 641,1159 719,1802 761,,,,
TDN cam 2/ch01_00000000004021500.jpg,271 617,439 641,1159 719,1804 757,,,,
TDN cam 2/ch01_00000000004021600.jpg,270 617,439 641,1159 718,1804 750,,,,
TDN cam 2/ch01_00000000004021700.jpg,271 617,439 641,1159 719,1802 759,,,,
TDN cam 2/ch01_00000000004021800.jpg,270 617,439 641,1160 720,1803 759,,,,
TDN cam 2/ch01_00000000004021900.jpg,270 617,439 641,1160 718,1802 756,,,,
TDN cam 2/ch01_00000000004022000.jpg,270 617,439 641,1160 719,1803 752,,,,
TDN cam 2/ch01_00000000004022100.jpg,270 617,439 641,1159 719,1802 761,,,,
TDN cam 2/ch01_00000000004022200.jpg,268 615,439 641,1160 718,1804 753,,,,
TDN cam 2/ch01_00000000004022300.jpg,271 617,439 641,1160 720,1804 751,,,,
TDN cam 2/ch01_00000000004022400.jpg,271 617,439 641,1161 719,1801 763,,,,
TDN cam 2/ch01_00000000004022500.jpg,270 617,439 641,1159 718,1803 756,,,,
TDN cam 2/ch01_00000000004022600.jpg,271 617,438 641,1159 719,1804 755,,,,
TDN cam 2/ch01_00000000004022700.jpg,270 617,439 641,1159 718,1803 753,,,,
TDN cam 2/ch01_00000000004022800.jpg,271 616,439 641,1160 719,1802 750,,,,
TDN cam 2/ch01_00000000004022900.jpg,271 617,439 641,1160 719,1804 757,,,,
TDN cam 2/ch01_00000000004023000.jpg,271 616,438 641,1159 718,1803 760,,,,
